Episode,Steps,Return
789,40,31.887
790,40,30.287
791,6,4.93
792,40,31.385
793,40,33.684
794,9,7.513
795,27,22.277
796,40,32.016
797,40,32.395
798,33,27.086
799,40,33.051
800,40,31.019
801,40,33.783
802,40,32.452
803,40,29.619
804,40,30.82
805,40,35.017
806,40,31.35
807,40,32.644
808,12,10.162
809,40,34.217
810,26,20.452
811,40,32.686
812,8,6.78
813,40,34.161
814,40,34.184
815,10,8.397
816,40,31.217
817,40,30.153
818,21,17.615
819,40,35.646
820,19,17.479
821,40,32.112
822,4,2.913
823,33,28.415
824,40,31.252
825,40,31.118
826,39,30.978
827,8,6.5
828,27,21.8
829,40,32.319
830,5,3.846
831,32,28.08
832,40,32.652
833,14,11.966
834,40,31.952
835,40,30.418
